龍王 (Dragon King)	龍王 (Король драконов) 
Labyrinth	Лабиринт
Leather	Кожа
Lichen Dashed	Лишайниковая штриховка
Lightning Strike	Удар молнии
Loudmouth	Loudmouth
Magma	Магма
Malachite	Малахит
Man-o'-war	Боец
Marina	Причал
Master Piece	Шедевр
Mayan Dreams	Мечты Майя
Medusa	Medusa
Mehndi	Роспись
Memento	Объемные шестиугольники
Metallic DDPAT	Пиксельный камуфляж «Металлический»
Meteorite	Метеорит
Midnight Storm	Midnight Storm
Minotaur's Labyrinth	Minotaur's Labyrinth
Mint Kimono	Mint Kimono
Modern Hunter	Современный охотник
Module	Модуль
Monkey Business	Обезьянье дело
Moon in Libra	Moon in Libra
Mosaico	Мозаика
Mudder	Осадок
Muertos	Покойник
Murky	Мрак
Naga	Нага
Nemesis	Nemesis
Neon Kimono	Neon Kimono
Neon Rider	Неоновый гонщик
Neural Net	Neural Net
Night	Ночь
Night Ops	Ночные операции
Nightshade	Паслен
Nitro	Нитро
Nuclear Garden	Ядерный сад
Nuclear Threat	Ядерная угроза
Nuclear Waste	Радиоактивные отходы
Ocean Foam	Океанская пена
Olive Plaid	Оливковая клетка
Orange DDPAT	Пиксельный камуфляж «Ржавчина»
Orange Kimono	Orange Kimono
Orange Peel	Апельсиновая корка
Origami	Оригами
Orion	Орион
Osiris	Осирис
Ossified	Окостеневший
Overgrowth	Камуфляж
Palm	Пальма
Pandora's Box	Pandora's Box
Panther	Пантера
Para Green	Para Green
Pathfinder	Pathfinder
Pilot	Пилот
Pink DDPAT	Пиксельный камуфляж «Розовый»
Pit Viper	Гадюка
Poison Dart	Отравленный дротик
Polar Camo	Полярный камуфляж
Polar Mesh	Полярная сетка
Pole Position	Поул-позиция
Poseidon	Poseidon
Predator	Хищник
Pulse	Пульс
Quicksilver	Ртуть
Radiation Hazard	Радиационная опасность
Ranger	Ranger
Reactor	Реактор
Red FragCam	Красные фрагменты
Red Laminate	Красный глянец
Red Leather	Красная кожа
Red Python	Красный питон
Red Quartz	Красный кварц
Redline	Красная линия
Retribution	Возмездие
Riot	Riot
Rising Skull	Восходящий череп
Road Rash	Следы асфальта
Rocket Pop	Rocket Pop
Rose Iron	Железная роза
Royal Blue	Королевский синий
Ruby Poison Dart	Ruby Poison Dart
Rust Coat	Пыльник
Safari Mesh	Африканская сетка
Sage Spray	Белое напыление
Sand Dashed	Песчаная штриховка
Sand Dune	Песчаные дюны
Sand Mesh	Песчаная сетка
Sand Spray	Песчаное напыление
Sandstorm	Песчаная буря
Scorched	Ожоги
Scorpion	Скорпион
Seabird	Seabird
Serenity	Безмятежность
Sergeant	Сержант
Serum	Сыворотка
Setting Sun	Закат
Shattered	Осколки
Shipping Forecast	Shipping Forecast
Silver	Серебро
Silver Quartz	Серебряный кварц
Skulls	Черепа
Slashed	Когти
Snake Camo	Змеиная кожа
Spitfire	Истребитель
Splash	Пятно
Splash Jam	Пятна от краски
Stained	Патина
Stainless	Нержавейка
Steel Disruption	Ржавая сталь
Storm	Гроза
Styx	Стикс
Sun in Leo	Sun in Leo
Sunset Storm 壱	Sunset Storm 壱
Sunset Storm 弐	Sunset Storm 弐
Supernova	Сверхновая
System Lock	Блокировка
Tatter	Обгорание
Teardown	Демонтаж
Tempest	Буря
Terrace	Terrace
Terrain	Почва
The Fuschia Is Now	Новая фуксия
The Kraken	Кракен
Tigris	Тигр
Titanium Bit	Частица титана
Tornado	Смерч
Torque	Закрученный
Torque	Torque
Toxic	Токсичность
Tranquility	Спокойствие
Traveler	Странник
Tread Plate	Листовая сталь
Trigon	Треугольник
Tropical Storm	Тропическая гроза
Tuxedo	Смокинг
Twilight Galaxy	Twilight Galaxy
Twist	Спираль
Ultraviolet	Ультрафиолет
Undertow	Цвета прибоя
Urban DDPAT	Пиксельный камуфляж «Город»
Urban Dashed	Городская штриховка
Urban Hazard	Городская опасность
Urban Perforated	Городская перфорация
Urban Rubble	Городской щебень
Urban Shock	Городской шок
Valence	Валентность
VariCamo	Смешанный камуфляж
VariCamo Blue	Смешанный синий камуфляж
Victoria	Виктория
Virus	Вирус
Vulcan	Вулкан
Walnut	Грецкий орех
Wasteland Rebel	Пустынный повстанец
Water Elemental	Водяной
Water Sigil	Знак воды
Wave Spray	Брызги волны
Waves Perforated	Перфорированные волны
Whiteout	Снежная мгла
Wings	Крылья
Winter Forest	Зимний лес
Worm God	Бог червей
X-Ray	Рентген
Yellow Jacket	Yellow Jacket
Zirka	Зірка
